[rosmaster.main][INFO] 2017-04-04 16:50:43,451: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-04-04 16:50:43,451: Starting ROS Master Node
[rosmaster.master][INFO] 2017-04-04 16:51:24,619: -PUB [/initialpose] /rviz_1491321076492354430 http://SMB303Lab:42595/
[rosmaster.master][INFO] 2017-04-04 16:51:24,624: -SUB [/tf_static] /rviz_1491321076492354430 http://SMB303Lab:42595/
[rosmaster.master][INFO] 2017-04-04 16:51:24,625: -SUB [/tf] /rviz_1491321076492354430 http://SMB303Lab:42595/
[rosmaster.master][INFO] 2017-04-04 16:51:24,627: -SERVICE [/rviz_1491321076492354430/reload_shaders] /rviz_1491321076492354430 rosrpc://SMB303Lab:54773
[rosmaster.master][INFO] 2017-04-04 16:51:24,815: -PUB [/rosout] /rviz_1491321076492354430 http://SMB303Lab:42595/
[rosmaster.master][INFO] 2017-04-04 16:51:24,816: -SERVICE [/rviz_1491321076492354430/get_loggers] /rviz_1491321076492354430 rosrpc://SMB303Lab:54773
[rosmaster.master][INFO] 2017-04-04 16:51:24,817: -SERVICE [/rviz_1491321076492354430/set_logger_level] /rviz_1491321076492354430 rosrpc://SMB303Lab:54773
[rosmaster.master][INFO] 2017-04-04 16:51:24,913: publisherUpdate[/rosout] -> http://SMB303Lab:43749/ []
[rosmaster.master][INFO] 2017-04-04 16:51:24,914: publisherUpdate[/rosout] -> http://SMB303Lab:43749/ []: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-04-04 16:56:12,601: -PUB [/rosout_agg] /rosout http://SMB303Lab:43749/
[rosmaster.master][INFO] 2017-04-04 16:56:12,602: -SUB [/rosout] /rosout http://SMB303Lab:43749/
[rosmaster.master][INFO] 2017-04-04 16:56:12,603: -SERVICE [/rosout/get_loggers] /rosout rosrpc://SMB303Lab:56947
[rosmaster.master][INFO] 2017-04-04 16:56:12,603: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://SMB303Lab:56947
[rosmaster.main][INFO] 2017-04-04 16:56:12,652: keyboard interrupt, will exit
[rosmaster.main][INFO] 2017-04-04 16:56:12,652: stopping master...
[rospy.core][INFO] 2017-04-04 16:56:12,652: signal_shutdown [atexit]
